Körperstatur ,Haar,Augen,Kleidung
langbeinig*,braunhaarig*,blau? Augen,Blazer
muskulös*,blond? Haar*,grün? Augen,Mantel
schlank*,schwarz? Haar*,braun? Augen,Bluse
schmächtig*,braun? Haar*,schwarz? Augen,Anzug
übergewichtig*,rot? Haar*,braunäugig*,Rock
grossgewachsen*,blondhaarig*,grünäugig*,Jeans
dünn*,schwarzhaarig*,schwarzäugig*,Pullover
korpulent*,brünett*,grauäugig*,Strickjack*
kurvig*,Blondine,grau? Augen,Hose*
füllig*,Blonde*,,Jumpsuit*
gertenschlank*,gefärbt*,,Designermode
drahtig*,Haare*,,Kleid*
durchtrainiert*,Haarfarbe*,,Sakko*
sportlich*,grauhaarig,,Krawatte*
massig*,weisshaarig,,Schal
vollschlank*,grau? Haar*,,Schmuck
mager*,weiss? Haar*,,Kleidungsstil
Hungerhaken,Bürstenschnitt,,Style
abgemagert,Glatze,,T-shirt
breitschultrig,Toupet,,Tshirt
breite? Schulter*,kurzhaar*,,Ohrring*
Oberweite,Afro,,Ring
Statur,Topffrisur,,Armreif
Falten,Pilzkopf,,Halskette
Runzeln,Mähne,,
faltig,Pony,,
runzlig,Zopf,,
,lange* Haar*,,
,langhaar*,,
,Dauerwelle,,
,Pferdeschwanz,,
,Igelfrisur,,
,Locken,,
,lockig,,
,voluminös,,
,Frisur ,,
,Perücke,,
,Bart,,
,Schnauz,,
,Augenbrau*,,
,Monobrau*,,
,Vollbart,,
,Dreitagebart,,
,Schurrbart,,
,Kotletten,,
,Halbglatze,,
